Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Argentina,CAIT,Total including LUCF,All GHG,MtCO₂e,469.62,469.73,460.21,456.74,462.89,464.88,450.1,440.34,452.69,468.33,458.1,454.28,420.84,427.68,401.76,378.78,375.63,354.96,357.06,351.87,346.24,344.46,341.39,340.81,335.73,333.22,328.83,323.84
United Kingdom,CAIT,Total including LUCF,All GHG,MtCO₂e,449.08,462.81,485.07,500.95,541.18,559.8,538.09,581.81,568.83,624.23,645.66,661.66,664.45,670.79,677.13,668.24,687.32,679.49,679.28,706.01,710.09,732.9,711.79,721.61,731.64,748.79,771.74,758.02
Pakistan,CAIT,Total including LUCF,All GHG,MtCO₂e,443.27,417.96,394.39,379.65,366.02,355.6,351.78,336.47,342.23,331.84,328.89,312.11,291.27,282.97,266.02,258.2,251.77,249.64,247.53,234.96,231.15,224.23,217.2,206.73,200.06,190.25,181.05,180.09
Turkey,CAIT,Total including LUCF,All GHG,MtCO₂e,437.9,396.03,369.08,362.28,337.43,346.2,332.17,319.55,309.77,306.25,307.69,277.77,273.38,260.87,254.55,242.67,232.37,262.95,238.96,239.06,237.86,228.73,211.02,196.44,201.26,194.75,187.26,184.8
Thailand,CAIT,Total including LUCF,All GHG,MtCO₂e,431.89,418.07,410.54,409.18,411.75,400.85,377.24,363.49,343.27,343.68,341.31,324.71,327.5,323.24,297.25,284.79,272.25,267.94,266.64,256.84,275.06,267.83,248.5,229.31,214.5,198.4,186.5,174.5
Italy,CAIT,Total including LUCF,All GHG,MtCO₂e,371.58,377.27,381.75,370.92,390.54,422.46,440.32,451.06,442.75,491.55,506.57,513.37,524.75,523.48,512.69,493.98,485.67,488.11,483.19,475.96,464.66,460.88,464.74,439.76,445.05,451.35,454.58,456.98
Poland,CAIT,Total including LUCF,All GHG,MtCO₂e,363.27,349.85,338.93,335.01,348.13,353.55,360.52,282.51,264.52,280.38,286.63,286.64,355.7,354.06,350.16,338.07,345.75,356.56,369.99,380.72,410.45,420.69,405.95,406.39,411.07,411.58,422.37,426.59
France,CAIT,Total including LUCF,All GHG,MtCO₂e,352.07,349.4,349.62,343.69,376.73,375.99,373.01,415.98,412.26,430.57,436.77,443.96,429.42,428.73,431.31,426.22,433.85,483.28,486.18,496.58,480.53,490.46,471.75,463.02,468.76,487.55,502.29,477.49
Venezuela,CAIT,Total including LUCF,All GHG,MtCO₂e,338.14,352.08,352.14,359.46,373.61,343.49,323.3,291.82,261.47,265.49,263.92,254.29,369.61,350.27,368.9,352.91,373.7,341.31,332.3,339.2,337.59,331,326.54,318.02,315.26,308.93,304.92,303.14
Egypt,CAIT,Total including LUCF,All GHG,MtCO₂e,322.56,316.11,307.05,298.59,292.61,294.67,283.87,277.84,274.82,271.31,259.47,243.23,234.47,215.53,204.82,197.49,193.11,180.77,179.47,170.63,163.81,154.39,146.97,137.99,142.31,140.04,134.93,129.29
Tanzania,CAIT,Total including LUCF,All GHG,MtCO₂e,321.06,319.78,326.73,312.99,309.94,309.58,312.03,316.84,315.62,324.7,320.64,309.19,339.9,323.55,320.69,297.08,310.18,269.19,294.65,299.73,281.96,296.82,294.59,290.54,290.45,290,289.98,289.78
Vietnam,CAIT,Total including LUCF,All GHG,MtCO₂e,319.54,320.67,306.26,263.12,249.25,237.24,235.76,251.16,231.71,209.45,200.5,184.78,169.64,159.76,141.61,135.41,118.02,86.24,78.24,75,63.8,56.03,49.46,43.31,37.69,31,28.49,25.63
Spain,CAIT,Total including LUCF,All GHG,MtCO₂e,299.35,282.81,292.59,281.94,283.43,309.75,316.29,316.43,331.69,368.38,401.62,385.94,378.36,363.3,347.31,337.93,321.25,323.41,305.93,281.34,271.75,250.17,256.87,242.96,230.02,244.81,234.98,228.8
Kazakhstan,CAIT,Total including LUCF,All GHG,MtCO₂e,280.64,274.51,259.7,258.13,307.49,294.12,294.12,277.17,251.28,282.06,235.75,227.47,206.01,193.94,176.44,164.95,148.46,148.47,149.24,165.38,166.14,193.9,221.73,253.4,278.37,320,319.08,309.03
United Arab Emirates,CAIT,Total including LUCF,All GHG,MtCO₂e,269.6,259.43,252.64,239.81,237.42,226.35,214.42,208.37,201.86,199.68,174.06,162.74,156.65,147.97,139.26,131.54,127.32,112.15,111.5,107.2,102.67,94.9,89.59,83.17,76.57,73.63,75.06,68.52
Ukraine,CAIT,Total including LUCF,All GHG,MtCO₂e,257.61,283.65,282.19,331.87,360.99,377.22,386.56,348.29,332.08,392.02,405.51,396.22,388.56,407.79,443.02,417.07,408.78,385.49,404.08,407.75,435.61,460.09,524.41,554.99,650.28,739.35,829.21,874.8
Myanmar,CAIT,Total including LUCF,All GHG,MtCO₂e,232.41,220.03,223.92,218.77,209.56,206.74,194.25,198.11,190.43,176.88,199.44,183.72,179.75,193.6,169.8,157.08,159.98,183.01,186.24,180.71,174.38,176.69,187.26,184.18,181.66,178.98,176.43,176.98
Democratic Republic of the Congo,CAIT,Total including LUCF,All GHG,MtCO₂e,224.39,224.74,219.91,219.12,222.94,214.31,214.73,211.73,210.81,210.07,207.98,209.12,210.94,208.27,203.93,197.7,196.32,206.71,210.66,218.25,216.1,210.13,203.61,203.63,203.3,202.92,202.53,203.63
Uzbekistan,CAIT,Total including LUCF,All GHG,MtCO₂e,218.55,213.33,206.45,209.67,216.53,213.95,225.94,237.07,231.69,257.9,248.41,250.41,226.32,229.27,226.78,231.79,227.97,223.95,204.19,197.34,186.36,191.88,189.42,198.17,220.73,188.83,199.02,196.29
Colombia,CAIT,Total including LUCF,All GHG,MtCO₂e,216.67,222.64,195.22,195.2,188.01,181.2,182.62,325.18,320.76,316.82,317.95,309.99,315.33,319.56,318.22,308.78,309.75,286.06,281.75,292.06,290.34,285.3,288.01,284.99,282.9,278.88,275.22,273.46
Algeria,CAIT,Total including LUCF,All GHG,MtCO₂e,211.5,209.41,211.66,203.79,193.59,189.89,179.68,167.32,166.21,156.4,153.14,145.89,147.68,142.17,138.28,132.49,125.25,127.66,120.71,114.73,109.39,105.3,103.99,99.78,102.03,94.5,94.87,96
Bangladesh,CAIT,Total including LUCF,All GHG,MtCO₂e,211.05,203.15,202.95,193.91,188.82,184.96,182.65,169.59,160.23,157.69,148.65,146.35,150.54,147.17,144.36,142.55,139.33,135.51,133.35,129.22,129.18,126.94,127.04,122.01,119.56,118.36,116.46,116.27
Cameroon,CAIT,Total including LUCF,All GHG,MtCO₂e,210.23,208.95,207.73,202.92,208.97,199.12,200.89,201.34,202.27,204.65,202.39,197.71,206.77,199.67,203.03,195.3,196.88,197.55,195.88,196.63,192.8,191.95,197.04,196.99,140.56,136.38,136.43,136.74
South Sudan,CAIT,Total including LUCF,All GHG,MtCO₂e,209.42,211.18,205.79,146.51,232.33,323.94,340.26,286.36,383.2,270.5,259.44,259.85,343.69,377.56,309.64,399.95,324.96,232.78,230.27,232.8,215.84,204.57,238.71,237.98,235.95,233.79,231.15,230.2
Iraq,CAIT,Total including LUCF,All GHG,MtCO₂e,198.78,195.4,183.95,191.69,184.88,173.56,151.57,139.87,126.64,103.39,93.86,99.69,104.18,90.04,85.79,93.82,101.22,89.67,79.31,95.9,129.45,110.9,109.13,113.17,102.14,79.14,57.43,77.78
Paraguay,CAIT,Total including LUCF,All GHG,MtCO₂e,196.32,194.87,193.59,193.01,193.59,189.46,187.78,172.01,169.08,166.91,170.4,166.3,111.35,109.45,112.26,112.43,109.93,102.37,106.94,103.75,103.53,102.33,106.21,104.2,104.21,104,104.63,107.63
Ethiopia,CAIT,Total including LUCF,All GHG,MtCO₂e,193.63,189.82,178.36,173.03,176.96,166.04,150.22,164.7,160.55,157.29,144.67,144.5,132.49,138.18,136.68,141.72,122.38,111.27,117.95,116.98,106.75,104.07,107.13,105,102.6,107.01,104.47,102.7
Netherlands,CAIT,Total including LUCF,All GHG,MtCO₂e,184.19,187.8,187.75,178.8,186.1,186.53,188.3,201.32,190.52,195.77,198,198.11,204.61,210.26,208.7,208.76,209.27,207.84,209.9,222.35,222.21,231.01,220.08,214.68,214.94,209.42,210.04,204.68
Angola,CAIT,Total including LUCF,All GHG,MtCO₂e,176.85,182.19,207.66,185.1,203.34,185.95,220.92,186.83,180.66,173.99,196.13,165.81,191.84,193.17,181,164.51,143.61,161.87,161.98,170.08,156.01,161.39,156.9,152.54,152.39,151.61,151.28,150.61
Peru,CAIT,Total including LUCF,All GHG,MtCO₂e,167.46,169.48,166.4,164.31,161.44,159.98,159.06,156.24,149.96,146.27,144.16,137.62,115.5,110.37,106.38,106.08,103.97,105.93,105.37,101.51,101.23,99.29,96.58,91.8,89.27,88.1,87.24,88.47
Philippines,CAIT,Total including LUCF,All GHG,MtCO₂e,166.2,149.76,136.84,127.66,119.66,108.26,103.12,191.4,185.21,183.12,180.05,174.38,163.38,161.94,158.19,155.12,153.25,139.77,137.86,132.26,138.4,129.78,121.06,108.87,101.1,95.59,93.45,93.39
Malaysia,CAIT,Total including LUCF,All GHG,MtCO₂e,158.12,162.95,164.9,179.88,147.31,128.4,128.18,251.52,243.65,241.22,229.36,203.8,375.09,361.58,335.37,326.86,307.49,281.66,270.82,293.71,262.36,251.87,244.01,236.38,229.46,226.07,219.34,211.78
Sudan,CAIT,Total including LUCF,All GHG,MtCO₂e,153.25,151.83,147.4,143.79,142.66,143.02,172.47,155.22,185.1,150.99,147.02,142.42,167.27,173.1,152.71,178.48,150.74,125.75,122.43,121.95,115.6,110.48,120.64,119.71,115.36,113.56,110.09,109.25
Bolivia,CAIT,Total including LUCF,All GHG,MtCO₂e,151.7,150.52,141.95,138.71,137.6,137.67,142.83,169.87,133.38,135.82,142.6,133.63,128.59,133.05,114.67,118.68,110.27,110.87,120.27,114.8,113.79,112.76,116.17,116.59,114.52,112.75,110.93,110.14
Turkmenistan,CAIT,Total including LUCF,All GHG,MtCO₂e,126.12,126.56,126.6,120.04,114.46,108.99,101.67,92.39,86.35,94.59,94.62,89.96,89.31,88.89,84.6,77.18,73.34,70.33,67.31,60.26,58.68,57.6,60.11,58.16,54,56.9,70.92,80.22
Czech Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,111.57,111.53,109.72,107.8,110.52,115.81,119.21,127.55,124.47,132.11,137.17,134.19,127.72,130.78,130.23,125.89,131.51,131.55,120.91,129.01,135.64,138.14,136.52,136.55,143.83,148.54,152.99,169.71
Kuwait,CAIT,Total including LUCF,All GHG,MtCO₂e,111.43,109.81,106.8,100.29,100.53,97.44,93.57,89.19,85.57,82.86,77.97,78.25,77.54,67.13,62.99,60.41,57.47,53.57,49.75,45.49,39.27,37.78,38.21,37.79,32.96,26.32,38.73,32.04
Chad,CAIT,Total including LUCF,All GHG,MtCO₂e,106.72,102.57,97.42,56.95,57.45,58.27,57.51,57.4,55.87,57.59,57.98,57.34,39.92,37.84,36.56,34.61,30.77,35.05,35.72,34.77,30.98,29.33,26.72,26.31,26.09,25.77,25.52,25.24
Belgium,CAIT,Total including LUCF,All GHG,MtCO₂e,105.53,107.63,108.8,103.74,110.14,108.87,109.56,121.75,114.43,121.49,119.15,123.82,126.18,130.04,131.47,128.09,135.37,135.04,134.36,138.21,135.44,138.63,133.27,133.1,127.74,129.92,131.83,126.89
