Country,Data source,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Syria,CAIT,Total including LUCF,All GHG,MtCO₂e,46.46,43.9,43.36,47.9,55.09,74.75,88.36,93.77,94.23,99.45,98.36,94.67,91.39,80.26,77.94,77.59,76.98,76.48,76.47,77.49,74.23,73.78,70.55,66.4,62.99,62.5,61.35,56.98
Bulgaria,CAIT,Total including LUCF,All GHG,MtCO₂e,46.29,44.11,47.14,44.5,41.93,47.08,52.78,46.91,45.2,52.67,55.2,50.99,47.01,47.1,48.36,43.55,46.61,46.32,46.9,53.83,57.67,60.19,59.71,58.49,62.38,63.86,69.73,86.95
Switzerland,CAIT,Total including LUCF,All GHG,MtCO₂e,45.67,46.66,46.17,46.95,50.74,49.72,48.49,50.73,49.17,50.64,49.05,50.98,53.11,52.42,51.98,50.78,52.46,50.53,51.33,51.21,49.67,51.12,50.53,49.6,50.47,52.94,53.02,50.82
Kenya,CAIT,Total including LUCF,All GHG,MtCO₂e,45.66,48.5,43.39,40.11,37.27,38.6,36.79,34.05,33.35,33.62,31.12,15.15,-3.14,-3.7,-6.06,-7.21,-8.25,98.31,99.71,97.34,96.04,95.78,96.45,96.11,95.85,96.05,96.05,97.28
Denmark,CAIT,Total including LUCF,All GHG,MtCO₂e,45.11,47.28,45.56,47.64,51.89,50.35,55.42,62.22,61.79,64.61,68.1,72.89,65.85,69.72,76.12,70.34,70.87,68.52,72.73,75.57,79.62,89.29,75.82,78.91,75.21,72.64,78.84,68.22
Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,44.77,45.4,42.39,41.61,40.13,40.14,39.5,37.02,35.36,33.53,36.76,35.62,34.3,34.23,32.33,30.27,29.24,27.6,27.28,27.48,25.94,25.7,28.65,28.23,27.81,27.44,27.11,26.78
Sweden,CAIT,Total including LUCF,All GHG,MtCO₂e,44.66,45.48,46.04,46.44,47.47,49.16,52.01,55.94,50.36,54.23,55.38,57.59,12.06,15.61,17.03,16.04,14.7,46.95,51.26,52.63,51.82,58.08,52.53,52.99,51.17,51.21,48.66,48.01
Niger,CAIT,Total including LUCF,All GHG,MtCO₂e,44.52,42.76,41.04,39.26,37.02,35.19,32.72,32.39,30.99,29.56,28.31,27.07,26.1,25.17,24.27,23.4,22.56,27.34,26.46,25.82,24.83,24.24,23.23,22.58,22.02,21.3,20.76,20.24
Guatemala,CAIT,Total including LUCF,All GHG,MtCO₂e,42.89,43.59,41.58,37.97,37.85,35.94,35.36,43.26,44.08,41.7,44.26,41.27,43.76,38.75,44.14,38.88,37.06,37.84,35.35,36.66,32.78,32.31,32.86,31.76,31.44,30.68,29.4,28.94
Tunisia,CAIT,Total including LUCF,All GHG,MtCO₂e,40.73,39.25,40.12,39.4,36.97,37.01,35.96,37.76,35.13,34.58,34.47,33.72,32.88,32.29,31.41,31.09,30.8,29.81,28.23,26.79,25.41,24.71,23.22,22.54,22.55,20.98,20.24,19.19
Burkina Faso,CAIT,Total including LUCF,All GHG,MtCO₂e,40.25,38.61,37.08,36.33,35.91,35.08,34.37,36.39,35.09,34.07,33.54,32.54,30.76,30.05,29.13,26.54,25.22,28.79,27.44,27.53,26.75,26.2,24.73,24.35,23.88,23.62,23.32,22.87
Somalia,CAIT,Total including LUCF,All GHG,MtCO₂e,40.13,40.06,40.43,40.25,40.15,39.97,39.64,41.67,41.42,41.35,41.28,42.34,45.76,45.28,44.95,44.68,44.25,41.83,41.63,41.54,41.66,41.24,40.77,40.09,38.12,36.12,38.04,40.92
Sri Lanka,CAIT,Total including LUCF,All GHG,MtCO₂e,38.74,37.47,36.5,33.46,30.58,32.86,31.38,27.87,26.61,27.47,27.18,26.21,30.34,28.33,28.15,26.91,25.89,24.83,25.73,26.44,29.03,31.16,31.47,31.31,30.4,29.95,28.1,28.15
Guyana,CAIT,Total including LUCF,All GHG,MtCO₂e,37.7,37.6,46.94,35.43,26.89,29.2,24.3,34.45,22.02,19.96,17.4,17.87,25.22,15.92,46.79,17.79,16.29,12.36,12.93,17.72,14.12,14.1,23.41,23.06,22.76,22.63,22.64,22.41
Jordan,CAIT,Total including LUCF,All GHG,MtCO₂e,36.73,35.07,34.97,34.68,32.42,32.12,28.55,27.43,27.57,26.89,27.63,26.18,25.44,23.93,22.71,22.32,21.03,20.9,20.34,21.28,22.07,22.57,23.34,23.71,22.63,21.89,19.14,18.67
Lebanon,CAIT,Total including LUCF,All GHG,MtCO₂e,35.59,33.77,32.66,30.3,28.35,28.35,25.75,25.01,25.91,22.47,18.73,19.74,20.68,21.25,20.7,20.02,20.04,18.77,19.93,18.95,18.61,16.4,15.37,13.11,12.15,8.77,8.71,7.22
Slovakia,CAIT,Total including LUCF,All GHG,MtCO₂e,35.38,33.48,32.66,32.24,34.9,34.25,36.56,36.74,35.15,38.8,38.92,39.9,37.58,36.7,37.35,37.06,37.62,36.29,38.88,40.34,41.53,41.72,41.68,41.09,43.8,46.48,49.02,57.06
Senegal,CAIT,Total including LUCF,All GHG,MtCO₂e,34.98,34.92,32.77,32.25,31.32,30.06,30.96,31.35,29.76,30.08,28.42,29.08,28.66,27.69,25.64,27.47,28.15,28.76,28.72,26.46,25.2,24.64,23.22,22.86,22.43,22.09,21.54,21.15
Côte d'Ivoire,CAIT,Total including LUCF,All GHG,MtCO₂e,31.56,30.2,28.57,27.3,27.53,26.74,25.04,26.15,27.71,29.4,30.86,31.33,18.56,17.89,20.2,23.03,24.15,28.23,29.06,27.82,27.78,26.94,27.67,27.93,22.09,16.4,10.81,5.09
Cuba,CAIT,Total including LUCF,All GHG,MtCO₂e,28.56,31.75,30.78,30.6,30.97,32.25,32.19,84.89,81.84,80.42,80.97,79.98,8.71,8.42,8.85,9.66,10.95,9.93,9.6,9.25,9.77,7.33,4.3,2.53,1.21,4.99,10.93,19.8
Dominican Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,28.28,29.11,27.86,25.49,25.24,25.44,24.69,24.31,22.98,23.47,23.3,22.09,20.43,18.98,19.72,22.04,19.65,17.52,16.76,16.11,14.22,12.53,11.63,11.11,9.11,8.59,7.08,5.92
Benin,CAIT,Total including LUCF,All GHG,MtCO₂e,27.89,27.36,25.41,24.74,24.13,23.63,23.7,23.46,22.84,22.08,22.47,21.45,20.9,19.48,19.52,19.72,18.5,23.34,23.11,23.34,22.21,21.93,20.46,20.6,20.32,20.2,20.08,19.95
Bosnia and Herzegovina,CAIT,Total including LUCF,All GHG,MtCO₂e,27.53,27.28,24.76,24.53,27.1,27.49,29.33,26.01,26.01,25.84,24.06,22.77,20.88,20.26,19.57,18.66,18.57,10.91,7.2,7.09,4.23,-0.63,-1.73,-1.64,8.69,12.13,19.67,22.2
Panama,CAIT,Total including LUCF,All GHG,MtCO₂e,26.28,26.66,26.74,26.86,26.4,26.08,25.16,24.08,23.53,21.86,21.84,21.88,21.9,20.43,20.69,20.15,20.62,18.8,18.66,19.55,18.5,18.59,18.82,18.59,18.3,18.03,17.35,16.85
Uruguay,CAIT,Total including LUCF,All GHG,MtCO₂e,25.54,26.52,26.16,26.34,26.94,27.82,27.16,16.64,19.17,19.64,17.01,18.05,21.52,21.21,19.27,18.36,18.03,6.76,8.65,7.64,8.06,8.39,7.11,6.91,7.02,6.48,4.87,3.25
Equatorial Guinea,CAIT,Total including LUCF,All GHG,MtCO₂e,24.05,24.5,26.52,27.92,29.63,30.74,30.88,31.22,31.59,31.14,29.94,31.79,30.88,28.14,24.16,21.12,17.93,15.61,13.58,11.86,10.36,8.74,6.72,6.66,6.61,5.63,5.58,5.52
Norway,CAIT,Total including LUCF,All GHG,MtCO₂e,23.88,25.02,25.63,25.36,25.09,26.01,27.15,28.14,23.79,24.46,25.87,25.26,26.27,27.52,27.02,25.07,25.59,31.92,37.31,35.36,33.78,32.17,31.3,31.97,30.43,28.58,28.03,30.6
Namibia,CAIT,Total including LUCF,All GHG,MtCO₂e,22.75,20.3,20.7,20.36,21.05,27.52,26.07,21.6,22.51,19.26,21.07,22.23,20.52,19.03,18.36,18.12,19.88,20.42,19.04,19.07,18.04,18.27,18.12,18.01,17.82,17.86,17.91,16.6
Trinidad and Tobago,CAIT,Total including LUCF,All GHG,MtCO₂e,22.59,22.35,25.1,25.49,26.02,25.12,25.91,25.91,23.28,24.04,24.79,24.75,21.78,18.01,17.26,17.91,17.2,16.27,16,15.8,15.39,14.85,14.59,14.41,13.85,13.31,14.36,15.44
Yemen,CAIT,Total including LUCF,All GHG,MtCO₂e,22.07,22.74,26.05,38.81,38.35,31.47,32.39,35.61,36.97,33.06,31.41,29.68,29.33,28.24,26.98,24.03,23.84,22.25,21.07,19.24,17.82,16.48,15.82,14.3,13.92,14.8,14.02,12.37
Malawi,CAIT,Total including LUCF,All GHG,MtCO₂e,21.99,21.32,20.77,19.83,18.8,18.12,17.13,19.37,18.23,18.39,17.77,17.34,18.8,17.75,18.07,17.21,17.9,16.38,15.73,15.87,15.55,15.5,14.91,14.47,15.74,16.48,17.36,18.06
Nicaragua,CAIT,Total including LUCF,All GHG,MtCO₂e,20.23,20.44,19.4,19.14,17.97,17.02,16.96,44.83,43.99,44.2,44.01,43.91,44.78,43.09,44.77,42.44,41.98,41.86,41.29,40.72,39.74,38.9,39.36,39.98,39.66,38.99,38.08,39.44
Estonia,CAIT,Total including LUCF,All GHG,MtCO₂e,20.04,19.45,19.24,21.66,23.03,20.6,21.81,19.47,15.47,18.89,20.4,16.57,23.25,23.13,23.01,21.33,21.39,13.6,14.02,15.17,15.77,16.21,15.31,17.06,17.94,23.75,31.39,35.18
Croatia,CAIT,Total including LUCF,All GHG,MtCO₂e,19.55,18.9,18.87,18.27,19,20.14,22.11,16.61,17.17,19.74,20.67,19.05,16.29,16.39,16.63,15.53,14.53,13.76,14.66,15.05,14.69,13.2,13.87,12.59,12.5,11.62,10.59,17.1
Lithuania,CAIT,Total including LUCF,All GHG,MtCO₂e,17.57,17.66,17.65,17.38,17.86,18.75,18.29,19.29,18.27,21.79,22.09,21.32,22.99,22.19,21.3,20.89,21.11,20.28,22,24.71,23.82,24.03,23.26,24.85,26.87,32.79,47.57,45.83
Georgia,CAIT,Total including LUCF,All GHG,MtCO₂e,17.21,17.41,17.01,16.65,16.06,15.26,14.38,9.49,9.75,9,9.87,9.13,8.75,8.12,8.03,7.48,8.12,9.98,9.62,9.91,10.4,11.12,12.76,16.2,23.55,29.81,37.82,47.95
Brunei,CAIT,Total including LUCF,All GHG,MtCO₂e,16.79,16.64,16.28,17.4,17.45,17.66,17.62,19.05,20.11,20.36,20.46,21.32,19.45,19.44,19.84,18.71,18.64,18.69,18.11,22.4,18.63,17.73,17.06,16.56,16.14,15.73,15.39,15.79
Kyrgyzstan,CAIT,Total including LUCF,All GHG,MtCO₂e,15.5,15.81,16.25,15.6,15.08,15.56,13,26.78,27.11,27.48,26.31,25.06,8.08,8.4,8.25,7.62,6.66,7.26,7.3,8.64,8.43,8.53,7.59,10.28,15.46,20.3,27.86,30.12
Togo,CAIT,Total including LUCF,All GHG,MtCO₂e,14.73,14.86,14.41,13.61,13.89,14.07,14.59,14,14.27,12.71,12.49,12.65,13.44,12.47,12.67,12.19,11.69,11.94,12.35,11.88,10.91,11.13,10.61,10.58,10.29,10.39,10.7,10.88
Tajikistan,CAIT,Total including LUCF,All GHG,MtCO₂e,14.54,13.93,12.55,11.99,10.54,10.13,9.34,9.03,9,9.36,9.01,8.32,7.78,7.66,6.95,6.71,6.76,6.82,7.17,7.64,7.71,7.47,8.1,8.69,11.16,14,17.01,17.88
Sierra Leone,CAIT,Total including LUCF,All GHG,MtCO₂e,13.22,13.56,16,14.8,13.03,14.04,11.8,11.21,12.96,11.13,12.43,15.11,11.11,13.06,11.87,9.6,9.35,8.87,8.69,9.02,8.9,8.91,10.73,11.06,11.08,10.99,10.87,10.89
El Salvador,CAIT,Total including LUCF,All GHG,MtCO₂e,12.83,13.46,13.49,13,12.72,13.43,13.28,13.45,13.7,14.09,14.66,14.04,13.61,13.27,12.96,12.44,12.24,11.63,11.77,11.6,11.52,10.68,10.77,10.52,9.84,9.3,8.89,8.04
Mauritania,CAIT,Total including LUCF,All GHG,MtCO₂e,12.6,11.59,11.32,10.64,10.18,10.16,9.71,11.65,11.04,10.28,10.81,10.61,10.84,10.67,10.63,10.51,10.56,10.25,9.85,9.27,8.99,8.72,8.23,8.13,8.2,8,8.12,7.87
Timor-Leste,CAIT,Total including LUCF,All GHG,MtCO₂e,12.49,12.87,13,12.98,13,13.04,13.05,14.48,14.18,13.86,13.49,13.2,12.16,11.18,10.39,9.55,8.49,4.25,4.18,4.29,4.27,4.26,4.25,4.23,4.14,4.11,4.11,4.03
Moldova,CAIT,Total including LUCF,All GHG,MtCO₂e,11.89,11.81,11.64,11.1,10.48,11.31,11.56,11.62,10.86,11.54,11.77,11.47,11.78,11.49,11.56,10.9,10.77,10.17,11.02,12.38,13.84,15.55,17.33,19.39,22.46,25.85,31.01,37.09
Slovenia,CAIT,Total including LUCF,All GHG,MtCO₂e,11.16,10.98,10.15,10.07,11.62,12.26,12.88,11.3,11.01,13,12.01,12.08,9.21,9.01,8.8,8.82,8.75,11.37,11.67,12.4,12.67,12.19,11.37,10.5,10.42,9.71,9.98,11.01
Macedonia,CAIT,Total including LUCF,All GHG,MtCO₂e,10.99,10.53,10.56,10.82,11.24,12.16,12.71,11.75,11.91,12.61,12.87,12.37,13.57,13.2,13.41,12.51,13.12,11.11,11.4,12.3,11.53,12.7,11.18,11.54,11.99,11.99,12.58,13.25
Liberia,CAIT,Total including LUCF,All GHG,MtCO₂e,10.65,10.67,15.06,11.34,8.84,8.5,7.6,20.37,24.79,19.8,19.77,20.08,19.14,19.19,19.21,18.59,18.52,18.42,18.27,18.25,18.06,17.9,18.73,18.87,19.04,19.21,19.33,19.6
Haiti,CAIT,Total including LUCF,All GHG,MtCO₂e,10.04,10.02,9.83,9.51,9.14,8.85,9.11,8.73,8.2,8.15,8.13,7.72,7.67,7.58,7.7,7.66,7.43,7.24,6.76,6.63,6.5,6.07,5.79,4.99,5.5,5.86,5.44,5.21
Luxembourg,CAIT,Total including LUCF,All GHG,MtCO₂e,9.92,9.78,10.05,10.56,11.05,11.58,11.83,11.98,11.38,11.96,12.04,12.63,12.82,12.59,11.15,10.75,9.96,8.66,8.7,8.32,8.99,9.5,9.41,11.56,12.4,12.2,12.51,12.03
Albania,CAIT,Total including LUCF,All GHG,MtCO₂e,9.9,9.33,9.48,9.54,9.05,8.94,9.33,8.88,8.6,8.54,9.03,8.75,9.94,10.16,10.11,9.67,9.06,8.38,7.99,6.77,6.54,7.25,7.53,7.77,6.93,6.99,9.04,11.4
Jamaica,CAIT,Total including LUCF,All GHG,MtCO₂e,9.22,9.76,9.22,9.32,9.56,9.08,9.43,9.26,9.83,11.4,13.99,14.13,12.72,12.75,12.85,12.44,12.33,12.21,12.08,11.8,11.26,11.12,10.82,10.51,10.47,10.28,9.49,9.49
Armenia,CAIT,Total including LUCF,All GHG,MtCO₂e,9.13,9.36,9.11,9.12,9.15,9.22,8.23,7.88,8.02,9.11,8.57,7.9,7.46,6.74,6.35,5.92,6.26,6.15,5.8,6.31,6.39,5.78,6.84,6.24,8.76,14.95,25.07,24.44
Cyprus,CAIT,Total including LUCF,All GHG,MtCO₂e,8.37,8.23,7.84,7.78,7.4,8.07,8.58,8.75,9.06,9.24,9.05,8.72,8.89,8.75,8.8,8.14,7.91,8.04,7.77,7.5,7.17,7.09,6.7,6.81,6.56,6.29,5.87,5.35
Eritrea,CAIT,Total including LUCF,All GHG,MtCO₂e,8.02,7.9,7.82,7.98,8.09,8.21,8.3,8.08,8.22,7.95,7.91,7.48,7.65,7.79,7.9,7.9,8.1,9.13,9.04,8.88,8.88,8.41,7.9,7.29,6.59,6.6,5.56,5.03
Burundi,CAIT,Total including LUCF,All GHG,MtCO₂e,8,7.95,7.52,7.56,8,7.36,7.55,4.03,3.82,3.45,2.69,3.15,8.87,9.55,10.39,10.17,9.2,12.22,12.08,12.4,12.16,11.99,12.61,12.53,12.59,12.56,12.53,12.42
Rwanda,CAIT,Total including LUCF,All GHG,MtCO₂e,7.64,7.58,7.76,5.24,6.42,5.28,5.41,4.44,3.92,4.73,3.18,4.05,-4.55,-5.12,-3.79,-5.71,-5.74,12.73,12.84,12.75,12.61,12.37,12.87,13.11,13.24,13.32,13.39,13.41
Suriname,CAIT,Total including LUCF,All GHG,MtCO₂e,7.51,7.68,9.9,8.48,8.07,7.82,7.32,6.96,7.72,6.89,5.61,6.41,6.08,8.58,9.97,6.49,5.43,5.29,6.16,7.02,6.51,6.37,7.43,7.38,7.35,7.4,7.3,6.94
Mauritius,CAIT,Total including LUCF,All GHG,MtCO₂e,6.71,6.51,6.35,6.31,6.1,5.97,5.81,5.77,5.49,5.5,5.39,5.25,5.01,4.82,4.79,4.6,4.58,4.27,3.83,3.3,3.03,2.92,2.74,2.68,2.61,2.45,2.36,2.25
Lesotho,CAIT,Total including LUCF,All GHG,MtCO₂e,5.62,5.22,5.19,5.19,5.09,5.08,4.9,4.87,4.72,4.5,4.42,4.22,4.15,3.95,3.98,3.9,4.08,4.06,4.11,3.6,3.58,3.56,3.53,3.56,3.55,3.54,3.32,3.26
Belize,CAIT,Total including LUCF,All GHG,MtCO₂e,4.96,4.94,5.28,3.58,7.63,3.52,7.22,9.32,8.01,8.42,9.85,7.58,9.32,6.93,10.25,9.66,7.21,5.63,6.67,7.88,8.6,9.8,12.75,13.84,13.73,13.66,13.44,13.23
Costa Rica,CAIT,Total including LUCF,All GHG,MtCO₂e,4.76,4.59,3.49,3.6,3.63,3.07,3.01,6.2,5.94,6.36,6.22,4.81,4.51,3.93,4.98,3.56,3.57,17.04,17.18,17.36,16.61,16.52,16.67,17.1,16.71,16.65,15.55,15.28
Chile,CAIT,Total including LUCF,All GHG,MtCO₂e,4.63,3.62,0.36,-5.81,0.26,-2.58,-4.71,86.47,81.8,84.56,79.83,71.44,70.91,70.05,64.64,63.74,62.73,59.27,62.97,60.16,58.96,51.65,45.49,42.03,38.5,37.14,34.8,35.53
Guinea-Bissau,CAIT,Total including LUCF,All GHG,MtCO₂e,4.24,4.11,4.17,4.02,4.01,4.11,3.91,3.98,3.85,3.64,3.75,3.71,4.25,4.3,4.41,4.46,4.8,3.46,3.75,3.39,3.17,3.12,3.31,3.27,3.25,3.21,3.18,3.17
Barbados,CAIT,Total including LUCF,All GHG,MtCO₂e,3.72,3.82,3.78,3.77,3.94,4.66,4.09,4.06,7.07,4.23,3.91,3.89,3.76,3.72,3.72,3.71,3.66,3.58,3.64,3.59,3.47,3.36,3.35,3.3,3.22,3.37,3.14,3.1
Montenegro,CAIT,Total including LUCF,All GHG,MtCO₂e,3.54,3.43,3.7,3.59,3.69,3.88,4.16,-12.72,-13.46,-12.39,-12.83,-12.68,2.87,1.1,1.25,1.24,1.24,1.3,1.35,1.37,1.36,1.34,1.32,1.25,1.24,1.23,1.35,1.36
Iceland,CAIT,Total including LUCF,All GHG,MtCO₂e,3.27,3.15,3.18,3.14,3.07,2.91,2.92,3.23,3.35,3.69,3.8,4.01,3.35,3.38,3.31,3.34,3.28,3.43,3.4,3.42,3.27,3.29,3.04,3.1,3.02,3.06,3.26,3.38
Eswatini,CAIT,Total including LUCF,All GHG,MtCO₂e,3.24,3.38,3.17,3.12,3.69,3.19,3.12,3.1,3.08,3.21,3.36,3.05,3.16,3.13,3.12,3.09,3.05,3.22,3.31,3.29,3.18,2.85,2.94,2.94,2.62,2.89,2.94,2.91
Bahamas,CAIT,Total including LUCF,All GHG,MtCO₂e,3.03,3.06,3.17,3.4,4.06,4.38,3.33,7.36,11.34,7.48,7.33,7.3,1.47,1.69,1.57,1.65,1.46,1.06,1.13,1.17,0.65,0.85,0.96,0.91,0.97,1.4,0.74,0.64
Solomon Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,2.88,2.86,2.78,2.8,2.83,2.78,2.76,2.36,2.35,2.33,2.33,2.32,2.38,2.34,2.3,2.28,2.26,2.24,2.22,2.21,2.19,2.18,2.16,2.15,2.13,2.11,2.1,2.09
Gambia,CAIT,Total including LUCF,All GHG,MtCO₂e,2.4,2.32,2.3,2.25,2.1,2.03,1.93,2.17,2.08,1.7,1.52,1.49,1.33,1.46,1.56,1.75,2.09,2.33,2.68,2.74,3.01,3.33,3.44,3.91,4.37,4.24,4.13,3.97
Grenada,CAIT,Total including LUCF,All GHG,MtCO₂e,2.33,2.31,2.29,2.26,2.32,2.41,2.27,2.08,2.59,2.06,2.04,2.01,2.51,2.49,2.5,2.48,2.45,2.07,2.07,2.06,2.02,1.99,1.96,1.93,1.91,1.92,1.86,1.84
Maldives,CAIT,Total including LUCF,All GHG,MtCO₂e,2.24,2.12,1.66,1.66,1.39,1.38,1.22,1.14,1.08,1.02,1.01,1,0.84,0.86,0.64,0.72,0.59,0.56,0.52,0.4,0.42,0.35,0.33,0.27,0.26,0.28,0.21,0.21
Malta,CAIT,Total including LUCF,All GHG,MtCO₂e,2.01,1.87,2.16,2.84,2.83,3.16,2.98,2.99,2.89,3.08,3.14,3.05,2.97,2.92,2.92,2.62,2.78,2.41,2.67,2.63,2.73,2.57,2.62,2.76,3.05,2.41,2.43,2.52
Djibouti,CAIT,Total including LUCF,All GHG,MtCO₂e,1.46,1.47,1.51,1.43,1.52,1.46,1.42,1.46,1.4,1.41,1.4,1.36,1.36,1.32,1.33,1.31,1.28,1.27,1.23,1.19,1.18,1.15,1.1,1.05,1.04,1.02,1.01,0.99
Antigua and Barbuda,CAIT,Total including LUCF,All GHG,MtCO₂e,1.17,1.14,1.1,1.08,1.06,1.29,1.07,1.13,2.02,1.06,1.01,0.95,0.78,0.75,0.74,0.71,0.65,0.59,0.57,0.55,0.5,0.47,0.44,0.42,0.41,0.43,0.35,0.34
Vanuatu,CAIT,Total including LUCF,All GHG,MtCO₂e,0.84,0.84,0.81,0.81,0.75,0.75,0.75,0.71,0.7,0.7,0.7,0.58,0.58,0.56,0.58,0.55,0.56,0.56,0.58,0.57,0.57,0.57,0.54,0.54,0.53,0.5,0.48,0.47
Saint Lucia,CAIT,Total including LUCF,All GHG,MtCO₂e,0.74,0.72,0.74,0.72,0.67,0.87,0.72,0.92,1.56,0.83,0.81,0.9,0.63,0.66,0.67,0.62,0.66,0.58,0.68,0.76,0.85,0.92,0.99,1.03,0.98,0.98,0.87,0.85
Seychelles,CAIT,Total including LUCF,All GHG,MtCO₂e,0.74,0.69,0.65,0.6,0.54,0.57,0.52,0.56,0.62,0.81,0.75,0.84,0.79,0.85,0.65,0.63,0.73,0.67,0.61,0.52,0.43,0.32,0.28,0.28,0.26,0.24,0.24,0.22
Samoa,CAIT,Total including LUCF,All GHG,MtCO₂e,0.67,0.66,0.62,0.57,0.55,0.54,0.54,-0.02,-0.03,-0.05,-0.04,-0.04,0.39,0.38,0.36,0.36,0.37,-1.6,-1.62,-1.63,-1.64,-1.64,-1.65,-1.65,-1.69,-1.7,-1.7,-1.7
Comoros,CAIT,Total including LUCF,All GHG,MtCO₂e,0.66,0.61,0.58,0.56,0.55,0.53,0.51,0.51,0.47,0.46,0.44,0.49,0.53,0.47,0.45,0.43,0.43,0.38,0.4,0.39,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33
Cape Verde,CAIT,Total including LUCF,All GHG,MtCO₂e,0.63,0.6,0.56,0.55,0.55,0.56,0.59,0.7,0.66,0.61,0.59,0.63,0.64,0.54,0.5,0.47,0.43,0,-0.03,-0.06,-0.09,-0.11,-0.09,-0.13,-0.11,-0.12,-0.15,-0.17
Saint Vincent and the Grenadines,CAIT,Total including LUCF,All GHG,MtCO₂e,0.37,0.37,0.32,0.39,0.31,0.5,0.33,0.51,1.25,0.48,0.56,0.51,0.28,0.28,0.26,0.26,0.24,0.15,0.17,0.17,0.13,0.13,0.13,0.11,0.1,0.09,0.06,0.05
Saint Kitts and Nevis,CAIT,Total including LUCF,All GHG,MtCO₂e,0.36,0.36,0.35,0.34,0.34,0.46,0.38,0.46,0.92,0.46,0.45,0.44,0.3,0.31,0.3,0.3,0.28,0.25,0.24,0.24,0.22,0.21,0.21,0.2,0.19,0.2,0.16,0.16
Dominica,CAIT,Total including LUCF,All GHG,MtCO₂e,0.35,0.37,0.37,0.36,0.36,0.44,0.35,0.77,1.09,0.78,0.77,0.76,0.24,0.23,0.21,0.2,0.23,0.16,0.15,0.15,0.15,0.14,0.17,0.16,0.16,0.17,0.15,0.15
Fiji,CAIT,Total including LUCF,All GHG,MtCO₂e,0.35,0.24,0.07,-0.22,-0.51,-0.67,-0.65,2.99,2.87,2.82,3.11,3.21,0.46,0.65,0.26,0.11,0.28,0.37,0.34,0.37,0.41,0.42,0.38,0.31,0.26,0.2,0.16,0.14
Tonga,CAIT,Total including LUCF,All GHG,MtCO₂e,0.34,0.31,0.27,0.27,0.28,0.27,0.26,-0.22,-0.2,-0.23,-0.23,-0.21,0.28,0.27,0.29,0.24,0.23,0.24,0.26,0.24,0.25,0.24,0.26,0.27,0.26,0.25,0.26,0.25
Palau,CAIT,Total including LUCF,All GHG,MtCO₂e,0.3,0.29,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.23,0.26,0.27,0.14,0.11,0.09,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,-0.13,N/A
Micronesia,CAIT,Total including LUCF,All GHG,MtCO₂e,0.23,0.23,0.2,0.19,0.19,0.18,0.17,0.16,0.18,0.16,0.18,0.18,0.2,0.2,0.2,0.18,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.1,0.09,0.08,-0.02,N/A
Marshall Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,0.22,0.22,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.03,N/A
Sao Tome and Principe,CAIT,Total including LUCF,All GHG,MtCO₂e,0.19,0.18,0.17,0.17,0.17,0.17,0.15,0.44,0.43,0.42,0.42,0.42,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09
Cook Islands,CAIT,Total including LUCF,All GHG,MtCO₂e,0.1,0.09,0.08,0.09,0.08,0.08,0.08,0.03,0.02,0.03,0.03,0.03,0.06,0.06,0.05,0.05,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0,0,0,0
Kiribati,CAIT,Total including LUCF,All GHG,MtCO₂e,0.1,0.1,0.08,0.08,0.09,0.08,0.07,0.07,0.08,0.08,0.08,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03
Nauru,CAIT,Total including LUCF,All GHG,MtCO₂e,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.07,0.08,0.08,0.09,0.09,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13
Niue,CAIT,Total including LUCF,All GHG,MtCO₂e,0.06,0.06,0.06,0.06,0.05,0.05,0.05,-0.01,-0.01,0,-0.01,0,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Tuvalu,CAIT,Total including LUCF,All GHG,MtCO₂e,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
